Timestamp_PC;Num_Lote;T1_Index;T1_ResetCount;T1_FineNS;T2_Index;T2_ResetCount;T2_FineNS;t1_nS;t1_nS;
17:19:38.494;1;0;42568;21,82;0;143806;40;4256821,82;14380640;
17:19:38.494;1;1;310792;40;1;351068;3,64;31079240;35106803,64;
17:19:38.494;1;2;518054;3,64;2;759056;40;51805403,64;75905640;
17:19:38.494;1;3;926042;36,36;3;1220393;58,18;92604236,36;122039358,2;
17:19:38.494;1;4;1387379;54,55;4;2077047;50,91;138737954,6;207704750,9;
17:19:38.494;1;5;2244033;50,91;6;3386910;14,55;224403350,9;338691014,6;
17:19:38.494;1;6;3460538;98,18;7;3709309;98,18;346053898,2;370930998,2;
17:19:38.494;1;7;3553896;10,91;8;4879731;10,91;355389610,9;487973110,9;
17:19:38.494;1;8;3876295;94,55;9;4994748;76,36;387629594,6;499474876,4;
17:19:38.494;1;9;5046717;10,91;10;5060793;72,73;504671710,9;506079372,7;
17:19:38.494;1;10;5161734;76,36;11;5953477;10,91;516173476,4;595347710,9;
17:19:38.494;1;11;5227779;72,73;12;6558285;65,45;522777972,7;655828565,5;
17:19:38.494;1;12;6120463;7,27;13;6696802;36,36;612046307,3;669680236,4;
17:19:38.494;1;13;6725271;58,18;14;8090430;80;672527158,2;809043080;
17:19:38.494;1;14;6863788;32,73;15;8247279;90,91;686378832,7;824727990,9;
17:19:38.494;1;15;8257416;80;16;9140186;83,64;825741680;914018683,6;
17:19:38.494;1;16;8414265;87,27;18;9647818;94,55;841426587,3;964781894,6;
17:19:38.494;1;17;9307172;83,64;19;9871991;32,73;930717283,6;987199132,7;
17:19:38.494;1;18;9403151;3,64;20;10360240;54,55;940315103,6;1036024055;
17:19:38.494;1;19;9814804;90,91;21;11925650;40;981480490,9;1192565040;
17:19:38.494;1;20;10038977;32,73;22;12072620;80;1003897733;1207262080;
17:19:38.494;1;21;10527226;54,55;23;12411701;18,18;1052722655;1241170118;
17:19:38.494;1;22;12092636;40;25;15998137;50,91;1209263640;1599813751;
17:19:38.494;1;23;12239606;76,36;26;16443739;43,64;1223960676;1644373944;
17:19:38.494;1;24;12578687;14,55;27;17944526;18,18;1257868715;1794452618;
17:19:38.494;1;25;12653427;98,18;29;18891654;43,64;1265342798;1889165444;
17:19:38.494;1;26;16165123;47,27;30;19477140;58,18;1616512347;1947714058;
17:19:38.494;1;27;16610725;43,64;31;19796553;61,82;1661072544;1979655362;
17:19:38.494;1;28;18111512;18,18;32;21915906;83,64;1811151218;2191590684;
17:19:38.494;1;30;19058640;43,64;33;21987383;7,27;1905864044;2198738307;
17:19:38.494;1;31;19644126;58,18;34;22286998;29,09;1964412658;2228699829;
17:19:38.494;1;32;19963539;61,82;35;22903974;14,55;1996353962;2290397415;
17:19:38.494;1;33;22082892;80;36;23468593;14,55;2208289280;2346859315;
17:19:38.494;1;34;22154369;7,27;37;23504436;25,45;2215436907;2350443625;
17:19:38.494;1;35;22453984;29,09;38;23677848;50,91;2245398429;2367784851;
17:19:38.494;1;36;23070960;10,91;39;24105641;18,18;2307096011;2410564118;
17:19:38.494;1;37;23635579;14,55;40;24143688;58,18;2363557915;2414368858;
17:19:38.494;1;38;23671422;25,45;41;24343185;50,91;2367142225;2434318551;
17:19:38.494;1;39;23844834;50,91;42;24602359;58,18;2384483451;2460235958;
17:19:38.494;1;40;24272627;14,55;43;25843431;36,36;2427262715;2584343136;
17:19:38.494;1;41;24310674;54,55;44;26663900;83,64;2431067455;2666390084;
17:19:38.494;1;42;24510171;50,91;45;27351552;50,91;2451017151;2735155251;
17:19:38.494;1;43;24769345;61,82;46;27495618;94,55;2476934562;2749561895;
17:19:38.494;1;44;26010417;32,73;47;30425691;50,91;2601041733;3042569151;
17:19:38.494;1;45;26830886;83,64;48;30524308;80;2683088684;3052430880;
17:19:38.494;1;46;27518538;47,27;50;31297236;18,18;2751853847;3129723618;
17:19:38.494;1;47;27662604;94,55;51;31352177;29,09;2766260495;3135217729;
17:19:38.494;1;48;30592677;47,27;52;31456498;36,36;3059267747;3145649836;
17:19:38.494;1;49;30691294;83,64;53;31655488;50,91;3069129484;3165548851;
17:19:38.494;1;50;30746723;94,55;54;32367765;40;3074672395;3236776540;
17:19:38.494;1;51;31464222;14,55;55;33183981;47,27;3146422215;3318398147;
17:19:38.494;1;52;31519163;29,09;56;33696595;3,64;3151916329;3369659504;
17:19:38.494;1;53;31623484;36,36;57;34003474;76,36;3162348436;3400347476;
17:19:38.494;1;54;31822474;43,64;58;34005989;10,91;3182247444;3400598911;
17:19:38.494;1;55;32534751;40;59;34359061;36,36;3253475140;3435906136;
17:19:38.494;1;56;33350967;43,64;60;34807322;47,27;3335096744;3480732247;
17:19:38.494;1;57;33863581;3,64;61;36389702;14,55;3386358104;3638970215;
17:19:38.494;1;58;34170460;76,36;62;37275510;94,55;3417046076;3727551095;47386572,72
17:19:38.494;1;59;34172975;10,91;63;37501130;43,64;3417297511;3750113044;16950034,55
17:19:38.494;1;60;34526047;29,09;64;37976408;65,45;3452604729;3797640865;52005818,18
17:19:38.494;1;61;34974308;43,64;65;38119629;65,45;3497430844;3811962965;61524707,28
17:19:38.494;1;62;36556688;14,55;66;38177668;54,55;3655668815;3817766855;174936567,3
17:19:38.494;1;63;37442496;94,55;67;38268188;54,55;3744249695;3826818855;105279480
17:19:38.494;1;64;37668116;40;68;38502403;65,45;3766811640;3850240365;39260545,45
17:19:38.494;1;65;38143394;65,45;69;38673978;3,64;3814339465;3867397804;64226421,81
17:19:38.494;1;66;38286615;65,45;70;39033222;32,73;3828661565;3903322233;31020700
17:19:38.494;1;67;38344654;54,55;71;39338914;65,45;3834465455;3933891465;22502489,1
17:19:38.494;1;68;38435174;54,55;72;40162827;54,55;3843517455;4016282755;25750600
17:19:38.494;1;69;38669389;65,45;73;40453897;32,73;3866938965;4045389733;40120110,9
17:19:38.494;1;70;38840964;3,64;74;40536283;7,27;3884096404;4053628307;33856038,19
17:19:38.494;1;71;39200208;32,73;75;40852401;14,55;3920020833;4085240115;52623029,09
17:19:38.494;1;72;39505900;65,45;76;41127852;76,36;3950590065;4112785276;47267832,72
17:19:38.494;1;73;40329813;54,55;77;41427205;14,55;4032981355;4142720515;99089889,1
17:19:38.494;1;74;40620883;32,73;78;41651438;7,27;4062088333;4165143807;45805578,18
17:19:38.494;1;75;40703269;7,27;79;42206043;18,18;4070326907;4220604318;24937174,54
17:19:38.494;1;76;41019387;10,91;80;42981538;87,27;4101938711;4298153887;48310403,64
17:19:38.494;1;77;41294838;72,73;81;43244410;65,45;4129483873;4324441065;44243758,18
17:19:38.494;1;78;41594191;14,55;82;43722497;40;4159419115;4372249740;46633838,19
17:19:38.494;1;79;41818424;7,27;83;44191149;40;4181842407;4419114940;39121892,72
17:19:38.494;1;80;42373029;18,18;84;44230521;36,36;4237302918;4423052136;72159110,91
17:19:38.494;1;81;43148524;87,27;85;44938595;47,27;4314852487;4493859547;94248169,09
17:19:38.494;1;82;43411396;65,45;87;44995500;80;4341139665;4499550080;42985778,18
17:19:38.494;1;83;43889483;40;88;45066646;3,64;4388948340;4506664604;64507274,55
17:19:38.494;1;84;44358135;36,36;89;45587733;47,27;4435813536;4558773347;63563796,36
17:19:38.494;1;85;44397507;36,36;90;45857133;72,73;4439750736;4585713373;20635796,36
17:19:38.494;1;86;45105581;43,64;91;46067070;87,27;4510558144;4606707087;87506007,28
17:19:38.494;1;87;45147763;98,18;92;46415376;98,18;4514776398;4641537698;20916850,91
17:19:38.494;1;88;45162486;80;93;47122091;65,45;4516248680;4712209165;16698600
17:19:38.494;1;90;45754719;47,27;94;47197452;29,09;4575471947;4719745229;68807343,63
17:19:38.494;1;91;46024119;69,09;95;47241238;94,55;4602411969;4724123895;43638621,82
17:19:38.494;1;92;46234056;83,64;96;47293243;65,45;4623405684;4729324365;37692310,91
17:19:38.494;1;94;47289077;61,82;97;47485129;76,36;4728907762;4748512976;122200674,5
17:19:38.494;1;95;47364438;29,09;98;48045676;3,64;4736443829;4804567604;94906130,91
17:19:38.494;1;96;47408224;94,55;99;50079386;7,27;4740822495;5007938607;28613329,1
17:19:38.494;1;97;47460229;61,82;101;51464836;83,64;4746022962;5146483684;26277732,73
17:19:38.494;1;98;47652115;76,36;103;51632260;25,45;4765211576;5163226025;41087681,81
17:19:38.494;1;99;48212662;3,64;104;52058145;61,82;4821266204;5205814562;91941838,19
17:19:38.494;1;100;50246372;3,64;105;52169015;25,45;5024637204;5216901525;276124227,3
17:19:38.494;1;102;51631822;80;106;52461138;3,64;5163182280;5246113804;358614676,4
17:19:38.494;1;104;51799246;21,82;107;53152624;29,09;5179924622;5315262429;171986014,5
17:19:38.494;1;105;52225131;61,82;108;53616323;14,55;5222513162;5361632315;76029478,18
17:19:38.494;1;106;52336001;25,45;110;54814844;87,27;5233600125;5481484487;70374100
17:19:38.494;1;108;53319611;29,09;111;55188897;29,09;5331961129;5518889729;126146567,3
17:19:38.494;1;109;53783309;14,55;112;55765471;50,91;5378330915;5576547151;161429389,1
17:19:38.494;1;111;54981830;87,27;113;56658762;7,27;5498183087;5665876207;252069283,6
17:19:38.494;1;112;55355883;25,45;114;57190446;32,73;5535588325;5719044633;220325896,4
17:19:38.494;1;113;55932457;50,91;115;57346414;61,82;5593245751;5734641462;231613436,4
17:19:38.494;1;114;56825748;3,64;116;57832362;14,55;5682574804;5783236215;201090316,4
